user_age,user_location,device_type,ad_category,time_of_day,historical_ctr,clicked
30,USA,Mobile,Finance,Night,0.0925,0
27,India,Mobile,Gaming,Morning,0.1291,0
50,USA,Mobile,Travel,Night,0.021,0
43,USA,Desktop,Gaming,Morning,0.1139,0
48,UK,Mobile,Fashion,Evening,0.0467,0
53,Canada,Desktop,Education,Afternoon,0.0404,0
54,USA,Desktop,Fashion,Night,0.0315,0
41,USA,Tablet,Travel,Evening,0.0193,0
27,USA,Mobile,Fashion,Morning,0.0369,0
41,USA,Mobile,Gaming,Night,0.1424,0
19,UK,Mobile,Gaming,Morning,0.1366,0
25,USA,Tablet,Gaming,Evening,0.1221,0
47,Germany,Mobile,Travel,Afternoon,0.0227,1
25,UK,Mobile,Finance,Evening,0.1149,0
64,USA,Desktop,Education,Afternoon,0.0639,0
28,USA,Mobile,Electronics,Morning,0.0451,0
53,Canada,Mobile,Travel,Evening,0.0399,0
37,India,Mobile,Finance,Night,0.0898,0
48,UK,Mobile,Fashion,Afternoon,0.0391,0
45,USA,Mobile,Gaming,Night,0.1206,0
36,India,Mobile,Gaming,Afternoon,0.1446,1
26,Australia,Mobile,Fashion,Afternoon,0.0445,0
26,USA,Desktop,Fashion,Night,0.0337,0
50,India,Desktop,Gaming,Morning,0.1162,0
28,Germany,Desktop,Finance,Evening,0.073,0
35,Germany,Mobile,Electronics,Night,0.0368,0
63,India,Desktop,Electronics,Night,0.0381,0
65,USA,Desktop,Travel,Afternoon,0.0196,0
32,UK,Desktop,Finance,Night,0.0904,0
40,USA,Desktop,Travel,Evening,0.0386,0
21,UK,Tablet,Electronics,Morning,0.0331,0
22,India,Mobile,Finance,Night,0.0877,0
21,USA,Mobile,Gaming,Night,0.1415,0
64,Germany,Mobile,Gaming,Afternoon,0.1528,0
25,USA,Tablet,Fashion,Afternoon,0.0213,0
41,USA,Desktop,Education,Morning,0.0605,0
40,Germany,Mobile,Education,Evening,0.0844,0
41,Germany,Mobile,Travel,Night,0.0434,0
48,Germany,Mobile,Gaming,Morning,0.154,0
58,USA,Desktop,Gaming,Night,0.1028,0
50,UK,Desktop,Electronics,Morning,0.0342,0
33,USA,Mobile,Education,Morning,0.0637,0
18,India,Desktop,Gaming,Afternoon,0.1329,0
58,USA,Mobile,Electronics,Afternoon,0.0366,1
40,USA,Mobile,Finance,Morning,0.1081,0
51,USA,Mobile,Fashion,Evening,0.0302,0
44,UK,Desktop,Electronics,Evening,0.0159,0
48,USA,Mobile,Education,Afternoon,0.0513,0
63,Germany,Mobile,Finance,Evening,0.0837,1
48,UK,Desktop,Travel,Night,0.0366,1
41,UK,Desktop,Fashion,Morning,0.0227,0
64,USA,Desktop,Electronics,Night,0.0327,0
57,USA,Mobile,Travel,Night,0.0221,0
59,UK,Desktop,Finance,Evening,0.0927,1
30,Germany,Desktop,Electronics,Evening,0.0279,0
61,UK,Mobile,Gaming,Morning,0.1447,0
42,India,Mobile,Travel,Night,0.0314,0
34,Germany,Mobile,Finance,Morning,0.0707,0
63,Canada,Mobile,Gaming,Morning,0.1289,0
20,Germany,Desktop,Travel,Night,0.0138,0
41,Canada,Mobile,Fashion,Evening,0.0261,0
55,UK,Mobile,Education,Afternoon,0.0772,1
40,UK,Tablet,Travel,Night,0.0325,0
36,USA,Tablet,Finance,Evening,0.0712,0
27,India,Desktop,Gaming,Night,0.1486,0
29,Germany,Desktop,Fashion,Night,0.0179,0
42,India,Mobile,Gaming,Morning,0.1441,0
18,Australia,Desktop,Gaming,Night,0.1347,0
27,India,Tablet,Finance,Afternoon,0.0907,0
41,UK,Mobile,Gaming,Night,0.1468,0
60,USA,Desktop,Travel,Morning,0.033,0
18,Australia,Mobile,Travel,Evening,0.0395,0
36,India,Mobile,Travel,Morning,0.0467,0
21,India,Desktop,Electronics,Afternoon,0.0218,0
64,USA,Desktop,Electronics,Afternoon,0.0102,0
64,India,Mobile,Education,Night,0.0658,0
59,USA,Mobile,Education,Afternoon,0.0721,0
53,USA,Mobile,Finance,Night,0.0715,0
42,India,Mobile,Finance,Morning,0.072,0
65,UK,Mobile,Electronics,Night,0.0209,0
24,USA,Desktop,Finance,Afternoon,0.0944,0
62,Canada,Mobile,Electronics,Morning,0.0332,1
45,India,Mobile,Education,Morning,0.0559,0
54,India,Mobile,Fashion,Night,0.0364,0
43,UK,Desktop,Electronics,Morning,0.0141,0
32,Australia,Mobile,Electronics,Afternoon,0.0395,0
65,USA,Tablet,Electronics,Evening,0.0438,0
23,USA,Mobile,Travel,Morning,0.0246,0
31,India,Mobile,Gaming,Morning,0.1234,1
42,Germany,Tablet,Travel,Morning,0.0171,0
34,Canada,Mobile,Electronics,Morning,0.0332,0
47,Australia,Tablet,Finance,Morning,0.0771,0
25,Australia,Mobile,Electronics,Evening,0.0473,0
56,India,Desktop,Education,Morning,0.0578,0
41,India,Mobile,Gaming,Afternoon,0.1382,0
48,UK,Tablet,Education,Morning,0.0488,0
19,USA,Desktop,Gaming,Evening,0.1489,0
29,India,Mobile,Fashion,Night,0.0336,0
27,USA,Mobile,Gaming,Afternoon,0.1392,0
33,USA,Desktop,Fashion,Night,0.0275,0
58,UK,Desktop,Travel,Night,0.0395,0
24,India,Desktop,Education,Evening,0.051,0
23,UK,Mobile,Electronics,Morning,0.0443,0
51,Germany,Mobile,Gaming,Afternoon,0.1125,1
27,UK,Desktop,Fashion,Evening,0.0426,0
60,Australia,Tablet,Travel,Afternoon,0.0153,0
56,UK,Mobile,Fashion,Night,0.0442,1
25,Australia,Desktop,Education,Afternoon,0.0563,0
43,UK,Mobile,Fashion,Night,0.0222,0
60,India,Desktop,Gaming,Morning,0.1469,0
62,UK,Mobile,Fashion,Night,0.0353,0
49,Canada,Mobile,Finance,Morning,0.0907,0
50,UK,Mobile,Education,Afternoon,0.0731,0
52,India,Tablet,Fashion,Night,0.0337,0
49,Australia,Desktop,Electronics,Morning,0.0287,0
51,Germany,Mobile,Electronics,Night,0.0243,0
43,Australia,Mobile,Fashion,Morning,0.0412,0
49,India,Mobile,Finance,Night,0.0891,0
23,India,Mobile,Finance,Evening,0.1003,0
26,India,Tablet,Fashion,Night,0.0318,0
51,India,Desktop,Fashion,Morning,0.026,0
62,UK,Mobile,Finance,Morning,0.1049,0
41,India,Mobile,Fashion,Night,0.0355,0
38,Germany,Mobile,Travel,Morning,0.0299,0
25,India,Mobile,Travel,Afternoon,0.0239,0
56,UK,Tablet,Education,Morning,0.0486,0
35,India,Mobile,Education,Morning,0.0755,0
43,India,Mobile,Gaming,Morning,0.148,0
30,Germany,Mobile,Finance,Morning,0.079,0
46,UK,Mobile,Finance,Morning,0.0781,0
55,Germany,Mobile,Electronics,Morning,0.0216,0
38,Germany,Mobile,Travel,Evening,0.0467,0
58,USA,Desktop,Travel,Morning,0.0232,0
40,Canada,Mobile,Gaming,Night,0.1211,0
22,India,Tablet,Finance,Evening,0.0876,0
21,UK,Mobile,Travel,Afternoon,0.0327,0
56,USA,Tablet,Gaming,Afternoon,0.1484,0
51,USA,Desktop,Electronics,Night,0.0268,0
45,India,Mobile,Travel,Morning,0.0466,0
52,Australia,Mobile,Gaming,Afternoon,0.1452,0
38,USA,Mobile,Fashion,Evening,0.0469,0
34,USA,Mobile,Education,Morning,0.0679,1
30,India,Mobile,Fashion,Afternoon,0.0476,1
24,USA,Mobile,Finance,Evening,0.0782,0
53,Australia,Desktop,Electronics,Morning,0.0258,0
45,Germany,Mobile,Fashion,Night,0.0276,1
25,USA,Desktop,Electronics,Night,0.0267,0
19,USA,Mobile,Education,Morning,0.0576,0
24,UK,Mobile,Travel,Evening,0.0499,0
61,UK,Mobile,Electronics,Night,0.0229,0
35,Canada,Desktop,Travel,Night,0.0174,0
53,India,Tablet,Electronics,Morning,0.0279,0
50,India,Mobile,Fashion,Morning,0.0384,0
58,India,Mobile,Education,Evening,0.0814,0
38,USA,Tablet,Gaming,Evening,0.1243,0
64,India,Desktop,Finance,Night,0.0807,0
25,UK,Mobile,Finance,Afternoon,0.0916,0
22,USA,Mobile,Fashion,Morning,0.0468,0
46,Germany,Mobile,Finance,Afternoon,0.0704,0
24,India,Mobile,Gaming,Night,0.1244,0
47,USA,Mobile,Travel,Evening,0.0378,0
64,USA,Mobile,Travel,Night,0.0251,0
23,India,Desktop,Travel,Evening,0.0262,0
38,Australia,Mobile,Gaming,Afternoon,0.1231,0
50,USA,Desktop,Finance,Afternoon,0.0859,0
31,India,Desktop,Electronics,Afternoon,0.032,0
57,USA,Mobile,Electronics,Morning,0.0461,0
60,India,Desktop,Gaming,Morning,0.1385,0
39,UK,Mobile,Travel,Night,0.0306,0
21,Germany,Mobile,Finance,Afternoon,0.0954,0
51,India,Mobile,Gaming,Afternoon,0.1233,0
47,Germany,Desktop,Finance,Evening,0.0846,0
25,India,Desktop,Travel,Evening,0.0222,0
25,India,Mobile,Fashion,Afternoon,0.0457,0
65,Australia,Desktop,Education,Night,0.0459,0
25,Germany,Desktop,Finance,Night,0.0768,0
40,India,Tablet,Electronics,Afternoon,0.0164,0
53,Canada,Mobile,Finance,Afternoon,0.0721,0
40,India,Mobile,Electronics,Night,0.0277,0
62,India,Mobile,Electronics,Afternoon,0.0323,0
64,UK,Mobile,Finance,Afternoon,0.0908,1
30,UK,Mobile,Fashion,Morning,0.0457,0
51,India,Mobile,Gaming,Afternoon,0.1481,1
45,USA,Mobile,Travel,Night,0.0235,0
46,UK,Mobile,Gaming,Afternoon,0.1445,0
52,India,Desktop,Travel,Night,0.0222,0
48,UK,Mobile,Education,Morning,0.0534,0
27,UK,Mobile,Electronics,Evening,0.0454,0
65,USA,Mobile,Finance,Evening,0.0777,0
23,India,Desktop,Finance,Evening,0.0825,0
53,USA,Mobile,Electronics,Night,0.0459,0
48,Australia,Desktop,Education,Morning,0.0587,0
39,India,Mobile,Fashion,Morning,0.0408,0
41,USA,Mobile,Electronics,Evening,0.0478,0
37,USA,Mobile,Education,Night,0.0589,0
45,USA,Mobile,Fashion,Evening,0.0313,0
52,India,Mobile,Education,Morning,0.0631,0
26,USA,Mobile,Education,Afternoon,0.0761,0
40,UK,Mobile,Finance,Night,0.1006,0
22,Australia,Desktop,Finance,Night,0.0659,0
55,Germany,Mobile,Education,Morning,0.0576,0
25,India,Mobile,Fashion,Night,0.0324,0
60,India,Mobile,Education,Morning,0.0638,0
18,Germany,Desktop,Education,Evening,0.0511,0
49,Germany,Mobile,Electronics,Evening,0.0371,0
42,Australia,Mobile,Fashion,Afternoon,0.0476,0
20,USA,Mobile,Gaming,Afternoon,0.1546,0
60,India,Mobile,Gaming,Afternoon,0.1305,0
32,USA,Mobile,Gaming,Morning,0.1218,1
45,India,Desktop,Fashion,Night,0.0168,0
29,Australia,Tablet,Travel,Night,0.0321,0
24,Germany,Desktop,Education,Evening,0.0604,0
45,Australia,Mobile,Finance,Evening,0.0806,0
43,UK,Tablet,Education,Evening,0.0607,0
39,USA,Mobile,Gaming,Afternoon,0.1285,0
63,UK,Mobile,Gaming,Afternoon,0.1469,0
25,USA,Mobile,Travel,Night,0.0274,0
43,India,Mobile,Education,Night,0.0709,0
38,Australia,Desktop,Travel,Afternoon,0.0209,0
33,USA,Mobile,Finance,Evening,0.0949,0
25,Canada,Mobile,Travel,Afternoon,0.022,0
19,Germany,Mobile,Fashion,Night,0.0332,0
36,India,Mobile,Fashion,Night,0.0472,0
29,India,Mobile,Gaming,Night,0.1596,0
19,USA,Mobile,Finance,Night,0.1051,1
43,Canada,Tablet,Fashion,Morning,0.0198,0
19,India,Mobile,Travel,Afternoon,0.0462,0
39,Canada,Desktop,Education,Evening,0.0575,0
43,USA,Mobile,Electronics,Morning,0.037,0
31,Canada,Mobile,Finance,Afternoon,0.1033,0
27,USA,Mobile,Travel,Morning,0.0464,0
50,India,Mobile,Travel,Afternoon,0.031,0
57,USA,Tablet,Education,Morning,0.0632,0
26,USA,Desktop,Education,Morning,0.0489,0
31,USA,Mobile,Fashion,Evening,0.0349,0
36,Germany,Mobile,Fashion,Morning,0.0404,0
48,India,Mobile,Fashion,Afternoon,0.0418,0
36,India,Mobile,Travel,Evening,0.0385,0
24,USA,Mobile,Travel,Morning,0.0467,0
25,India,Mobile,Travel,Night,0.035,0
20,India,Mobile,Finance,Night,0.0828,0
58,Australia,Mobile,Education,Morning,0.0798,0
34,Germany,Desktop,Gaming,Night,0.1092,0
29,USA,Desktop,Travel,Night,0.013,0
56,Australia,Desktop,Education,Night,0.0597,0
60,Australia,Desktop,Electronics,Morning,0.0102,0
49,India,Tablet,Travel,Morning,0.0327,0
37,India,Tablet,Travel,Morning,0.0308,0
37,Canada,Mobile,Gaming,Evening,0.1645,0
38,UK,Mobile,Education,Evening,0.0829,0
52,UK,Mobile,Gaming,Afternoon,0.1277,0
35,India,Desktop,Electronics,Afternoon,0.034,0
53,Australia,Mobile,Fashion,Night,0.0381,0
59,UK,Desktop,Travel,Afternoon,0.0351,0
62,UK,Mobile,Travel,Morning,0.0491,0
60,India,Desktop,Fashion,Morning,0.0293,0
30,India,Desktop,Education,Evening,0.0532,0
38,India,Desktop,Travel,Evening,0.0371,0
29,India,Mobile,Gaming,Morning,0.1151,0
63,UK,Mobile,Fashion,Morning,0.0234,0
20,India,Mobile,Fashion,Morning,0.0447,0
41,India,Tablet,Finance,Morning,0.0617,0
22,Germany,Mobile,Electronics,Evening,0.0384,0
35,UK,Mobile,Education,Evening,0.0592,0
24,Germany,Tablet,Finance,Morning,0.0976,0
24,Germany,Mobile,Education,Morning,0.0762,0
28,India,Tablet,Education,Evening,0.0586,0
44,USA,Mobile,Finance,Morning,0.0859,0
52,Australia,Mobile,Fashion,Afternoon,0.0487,0
50,USA,Desktop,Electronics,Morning,0.0369,0
49,Australia,Mobile,Fashion,Afternoon,0.0213,0
48,UK,Desktop,Education,Morning,0.0683,0
40,India,Mobile,Travel,Morning,0.0248,0
31,UK,Mobile,Travel,Morning,0.0226,0
62,UK,Mobile,Gaming,Evening,0.1295,0
57,Australia,Mobile,Gaming,Morning,0.1284,0
60,USA,Tablet,Travel,Night,0.036,0
46,Germany,Desktop,Fashion,Evening,0.0233,0
23,India,Mobile,Finance,Afternoon,0.088,1
65,UK,Mobile,Electronics,Evening,0.033,0
56,Germany,Mobile,Fashion,Night,0.0466,0
45,India,Mobile,Electronics,Morning,0.0461,0
38,UK,Desktop,Electronics,Evening,0.0439,0
65,India,Mobile,Gaming,Evening,0.1324,0
42,USA,Mobile,Fashion,Night,0.0277,0
62,UK,Mobile,Fashion,Morning,0.0204,0
29,Germany,Tablet,Travel,Afternoon,0.0128,0
57,India,Mobile,Travel,Morning,0.0404,0
59,India,Mobile,Travel,Evening,0.0276,0
31,India,Desktop,Electronics,Evening,0.0171,0
63,USA,Desktop,Electronics,Morning,0.0182,0
37,Australia,Tablet,Education,Morning,0.0402,0
42,Australia,Mobile,Education,Afternoon,0.0529,0
33,UK,Mobile,Education,Evening,0.0791,1
27,Germany,Mobile,Finance,Night,0.0723,0
37,Canada,Mobile,Fashion,Morning,0.0243,0
38,UK,Mobile,Electronics,Evening,0.0331,0
55,USA,Desktop,Gaming,Afternoon,0.1133,0
39,Canada,Mobile,Finance,Night,0.1002,0
26,India,Mobile,Finance,Night,0.0753,0
36,USA,Mobile,Education,Night,0.0548,0
33,India,Mobile,Finance,Evening,0.0787,0
29,India,Mobile,Fashion,Night,0.0253,0
18,Australia,Mobile,Gaming,Evening,0.1238,0
45,India,Mobile,Education,Evening,0.0795,0
54,USA,Desktop,Fashion,Morning,0.0365,0
64,India,Mobile,Fashion,Night,0.0296,1
